anon_item_id,anon_title_code,anon_product_id,anon_leaf_categ_id,anon_slr_id,anon_buyer_id,auct_start_dt,fdbk_score_start,fdbk_pstv_start,auct_end_dt,start_price_usd,photo_count,to_lst_cnt,bo_lst_cnt,count1,ref_price1,count2,ref_price2,count3,ref_price3,item_cndtn_id,view_item_count,wtchr_count,meta_categ_id,item_price,bo_ck_yn,ship_time_slowest,ship_time_fastest,ship_time_chosen,decline_price,accept_price,bin_rev,lstg_gen_type_id,store,ref_price4,count4,slr_us,buyer_us
92407343,19730181,547957,12529,4808347,10724988,30jan2013,3551,99.94,06apr2013,14,4,3979,227,0,14,0,14,,,3000,38,2,1,14,0,6,6,6,,,0,,1,,,1,1
60161985,6579835,547957,3334,9606537,10724988,08may2013,62,100,16may2013,10.8,6,445,403,0,10.8,0,10.8,,,3000,3,0,1,10.8,0,10,9,9,,,1,1,1,,,1,1
77618944,820031,547957,17054,7088968,9217512,28mar2013,5342,99.96,05apr2013,16.99,1,5497,716,0,16.99,0,16.99,,,,6,0,870,16.99,0,10,4,6,,,0,1,1,,,1,1
28904553,10842718,547957,1574,6110202,9217512,02jan2013,1208,100,04jan2013,35,1,407,25,0,22,,,,,1000,33,1,237,22,1,4,4,4,,,0,,1,,,1,1
40925913,11222622,547957,5209,2468910,9217512,05jun2012,374,99.73,10jun2012,69,1,20,16,0,50,,,,,1000,51,7,237,50,1,9,-1,9,0,55,0,,0,,,1,1
63078811,11446333,547957,4593,6364221,9217512,15jun2012,2708,99.93,15jun2012,51,1,755,5,0,32,0,43,,,,1,0,237,51,0,10,-1,10,,,0,,0,,,0,1
44751656,22195954,547957,4133,8386032,9217512,25feb2013,1071,100,25feb2013,550,6,97,8,0,550,0,550,,,3000,4,0,237,550,0,4,4,4,500,500,0,,0,,,1,1
43416482,15210028,547957,10767,3440208,9217512,28aug2012,560,100,07feb2013,25,3,1432,334,0,20,,,,,3000,1,4,281,20,1,10,4,4,10,20,0,1,1,,,1,1
90295440,36346370,547957,2710,1351848,9217512,26sep2012,236,100,28sep2012,10,4,139,127,0,10,0,10,,,1000,7,3,1,10,0,6,6,6,,,1,,0,,,1,1
88012055,15674089,547957,5487,10146261,9217512,13sep2012,168,100,18sep2012,15.55,1,532,488,0,15.55,0,15.55,,,3000,19,0,1,15.55,0,9,9,-1,,,0,,0,,,1,1
93935347,38276665,547957,11082,3257948,9217512,31may2013,2834,100,31may2013,124.99,1,725,125,0,124.99,0,124.99,,,,124,0,237,124.99,0,6,6,6,,,0,,0,,,1,1
15390457,41934156,547957,9801,324472,9217512,08jun2012,20049,99.77,20jun2012,7.95,1,20511,297,0,7.225,0,7.95,,,3000,31,3,1,7.95,0,6,6,6,,,0,,0,,,1,1
33143348,23949380,547957,14795,192639,3395817,31oct2012,91747,98.9,01nov2012,24.68,1,21774,11182,0,24.68,0,24.68,,,1500,4,0,58058,24.68,0,6,1,6,,,0,,0,,,1,1
36204026,39522776,547957,8837,945767,3395817,14jan2013,1455,99.93,17jan2013,229.99,1,8655,504,0,215,,,,,3000,14,1,58058,215,1,6,6,6,199.99,200,0,1,0,,,1,1
60530731,37706081,547957,10184,3683334,3395817,24oct2012,17236,99.94,25oct2012,44.95,1,24629,1,0,40,,,,,3000,3,0,58058,40,1,10,-1,6,26.97,35.96,0,,0,,,1,1
54944011,27906581,547957,1747,1118803,6861233,14jun2012,5839,99.91,16jul2012,9.99,4,4982,52,0,7.5,,,,,3000,86,4,220,7.5,1,10,-1,6,,,0,,1,,,1,1
75630946,18778018,547957,9841,6781579,6861233,02may2013,1950,99.69,05may2013,8,1,1118,748,0,8,0,8,,,1500,11,0,888,8,0,8,6,6,,,0,,1,,,1,1
53305795,20933962,547957,18115,4280790,9415280,21oct2012,3419,99.74,19jan2013,3.74,1,6981,1179,0,3.74,0,3.74,,,,23,1,1,3.74,0,6,6,6,,,1,,1,,,1,1
16345643,11216272,547957,2097,9537435,6799411,21jul2012,12395,99.94,13aug2012,479,1,14191,66,0,399.5,0,400,0,400,1000,15,1,293,399,1,6,6,-1,,,0,1,0,,,1,1
75523076,37112443,547957,7942,5073350,3221376,26jan2013,45134,99.4,17feb2013,5.49,1,120525,20470,0,5.49,0,5.49,,,4000,9,0,58058,5.49,0,9,-1,9,,,1,1,1,,,1,1
62405843,15200166,547957,17906,4946162,3221376,22nov2012,315,99.68,23nov2012,18,5,210,184,0,15,,,,,,1,0,20081,15,1,6,6,6,0,9.99,0,1,0,,,1,1
50037265,9119796,547957,17459,10169595,728157,20jul2012,734,100,22jul2012,149,2,244,5,0,125,,,,,,11,2,11116,125,1,4,4,4,,,1,1,0,,,1,1
77250339,23229629,547957,5149,10560995,728157,25feb2013,123,100,25feb2013,35,2,157,117,0,35,0,35,,,,2,0,220,35,0,6,-1,6,,,0,,0,,,1,1
12473311,22795141,547957,16419,5080791,728157,20jul2012,908,100,20jul2012,18,2,622,48,0,18,0,18,,,,3,0,11116,18,0,6,6,6,,,0,1,0,,,1,1
19356648,19021960,547957,4642,8053978,728157,27may2013,6959,99.99,27may2013,19.95,1,953,329,0,19.95,0,19.95,,,3000,3,0,220,19.95,0,9,9,9,,,0,,0,,,1,1
85522968,25074618,547957,4642,3167021,728157,25may2013,3423,99.94,25may2013,21.95,1,553,124,0,21.95,0,21.95,,,1000,1,0,220,21.95,0,4,4,4,,,0,1,0,,,1,1
90651733,17223949,547957,2772,3180042,728157,25feb2013,9593,99.97,25feb2013,40,5,916,87,0,35,0,35,0,35,3000,3,0,220,40,0,4,4,4,,,0,,1,,,1,1
78066765,4659404,547957,10568,4371953,728157,22aug2012,9874,99.9,22aug2012,35,3,24945,6751,0,45,0,45,,,,8,0,11116,35,0,6,-1,6,,,0,,1,,,1,1
29453889,17542649,547957,1880,5994109,728157,21feb2013,7753,99.82,21feb2013,19.99,2,33175,4361,0,11,,,,,3000,4,0,220,11,1,6,6,6,,,0,,1,,,1,1
48099852,11214653,547957,10568,480187,728157,02jun2012,378,100,02jun2012,3,1,517,2,0,3,0,3,,,,3,0,11116,3,0,6,6,6,,,0,1,0,,,1,1
53317080,6449816,547957,1880,2886266,728157,26may2013,665,99.85,26may2013,29.99,6,5604,2192,0,29.99,0,29.99,,,3000,6,0,220,29.99,0,4,4,4,,,0,,0,,,1,1
